District.Type,District.Number,name19.x,enrollment19,perc_white19,perc_frp19,name22.y,enrollment22,perc_white22,perc_frp22,name25.y,enrollment25,perc_white25,perc_frp25,math19,reading19,math22,reading22,name22.x,math25,reading25,name25.x,math_perc_19_22,math_perc_pt_19_22,math_perc_22_25,math_perc_pt_22_25,math_perc_19_25,math_perc_pt_19_25,reading_perc_19_22,reading_perc_pt_19_22,reading_perc_22_25,reading_perc_pt_22_25,reading_perc_19_25,reading_perc_pt_19_25,name19.y,filter_helper
1,700,Hermantown Public School District,2110,91.80%,12.75%,Hermantown Public School District,2098,90.04%,10.01%,Hermantown Community Schools,2118,90.04%,16.53%,69.71,70.86,55.03,59.8,Hermantown Community Schools,60.17,58.9,Hermantown Community Schools,-0.210586716,-0.1468,0.093403598,0.0514,-0.136852675,-9.54,-0.156082416,-0.1106,-0.015050167,-0.009,-0.168783517,-11.96,Hermantown Public School District,-9.54
1,75,St. Clair Public School District,666,97.30%,16.52%,St. Clair Public School District,762,95.28%,13.25%,St. Clair Public School District,820,95.37%,22.80%,64.05,60.36,49.49,50.7,St. Clair Public School District,49.45,54.95,St. Clair Public School District,-0.227322404,-0.1456,-0.000808244,-0.0004,-0.227946916,-0.146,-0.160039761,-0.0966,0.08382643,0.0425,-0.089628893,-0.0541,St. Clair Public School District,-0.0541
3,6,South St. Paul Public School Dist.,3548,54.40%,50.06%,South St. Paul Public School District,3116,48.68%,51.41%,South St. Paul Public School District,2861,44.56%,61.38%,39.36,44.89,23.51,36.61,South St. Paul Public School District,28.63,39.85,South St. Paul Public School District,-0.402693089,-0.1585,0.217779668,0.0512,-0.272611789,-10.73,-0.18445088,-0.0828,0.08850041,0.0324,-0.112274449,-5.04,South St. Paul Public School District,-5.04
1,81,Comfrey Public School District,148,89.19%,45.95%,Comfrey Public School District,131,92.37%,37.40%,Comfrey Public School District,104,92.31%,41.35%,26.76,56.34,42.37,44.26,Comfrey Public School District,46.3,54.17,Comfrey Public School District,0.583333333,0.1561,0.092754307,0.0393,0.73019432,0.1954,-0.214412496,-0.1208,0.223904202,0.0991,-0.038516152,-0.0217,Comfrey Public School District,0.1954
1,84,Sleepy Eye Public School District,609,62.07%,47.95%,Sleepy Eye Public School District,595,60.34%,32.77%,Sleepy Eye Public School District,562,64.59%,41.46%,51.3,57.78,38.13,38.15,Sleepy Eye Public School District,43.19,39.15,Sleepy Eye Public School District,-0.256725146,-0.1317,0.132703908,0.0506,-0.158089669,-0.0811,-0.339736933,-0.1963,0.02621232,0.01,-0.322429907,-0.1863,Sleepy Eye Public School District,-0.0811
1,85,Springfield Public School District,566,92.05%,46.82%,Springfield Public School District,574,86.76%,42.16%,Springfield Public School District,653,84.23%,42.27%,74.67,69.1,71.14,64.38,Springfield Public School District,62.99,58.96,Springfield Public School District,-0.047274675,-0.0353,-0.114562834,-0.0815,-0.156421588,-0.1168,-0.068306802,-0.0472,-0.084187636,-0.0542,-0.146743849,-0.1014,Springfield Public School District,-0.1014
1,186,Pequot Lakes Public Schools,1747,95.59%,26.27%,Pequot Lakes Public Schools,1771,95.20%,16.88%,Pequot Lakes Public Schools,1737,94.76%,33.05%,63.77,70.37,44.36,60.48,Pequot Lakes Public Schools,48.87,60.84,Pequot Lakes Public Schools,-0.304375098,-0.1941,0.10166817,0.0451,-0.233652188,-14.9,-0.140542845,-0.0989,0.005952381,0.0036,-0.135427029,-9.53,Pequot Lakes Public Schools,-9.53
1,91,Barnum Public School District,714,92.30%,33.33%,Barnum Public School District,708,86.16%,25.00%,Barnum Public School District,660,87.88%,30.00%,62.92,70.54,43.16,60.58,Barnum Public School District,41.4,51.56,Barnum Public School District,-0.314049587,-0.1976,-0.040778499,-0.0176,-0.342021615,-0.2152,-0.141196484,-0.0996,-0.148894024,-0.0902,-0.269067196,-0.1898,Barnum Public School District,-0.1898
1,93,Carlton Public School District,435,79.54%,36.32%,Carlton Public School District,384,77.60%,27.60%,Carlton Public School District,308,78.57%,42.86%,50.8,57.32,32.07,46.77,Carlton Public School District,29.33,33.12,Carlton Public School District,-0.368700787,-0.1873,-0.085438104,-0.0274,-0.422637795,-0.2147,-0.184054431,-0.1055,-0.291853752,-0.1365,-0.422191207,-0.242,Carlton Public School District,-0.2147
1,283,St. Louis Park Public School Dist.,4714,54.35%,36.13%,St. Louis Park Public School District,4581,53.02%,26.83%,St. Louis Park Public School District,4446,50.94%,36.30%,53.2,59.07,43.46,48.06,St. Louis Park Public School District,47.76,53.3,St. Louis Park Public School District,-0.183082707,-0.0974,0.098941555,0.043,-0.102255639,-5.44,-0.18638903,-0.1101,0.109030379,0.0524,-0.097680718,-5.77,St. Louis Park Public School District,-5.44
1,95,Cromwell-Wright Public Schools,331,90.63%,37.76%,Cromwell-Wright Public Schools,310,90.32%,18.06%,Cromwell-Wright Public Schools,300,92.00%,30.33%,51.79,55.21,47.86,58.23,Cromwell-Wright Public Schools,47.92,55.78,Cromwell-Wright Public Schools,-0.075883375,-0.0393,0.001253656,0.0006,-0.07472485,-0.0387,0.054700235,0.0302,-0.042074532,-0.0245,0.010324217,0.0057,Cromwell-Wright Public Schools,0.0057
1,97,Moose Lake Public School District,655,92.52%,30.99%,Moose Lake Public School District,574,92.16%,20.21%,Moose Lake Public School District,561,90.55%,34.05%,55.82,54.23,46.58,50.96,Moose Lake Public School District,41.67,45.98,Moose Lake Public School District,-0.165532067,-0.0924,-0.105410047,-0.0491,-0.253493372,-0.1415,-0.060298728,-0.0327,-0.097723705,-0.0498,-0.152129817,-0.0825,Moose Lake Public School District,-0.0825
1,22,Detroit Lakes Public School Dist.,3047,75.22%,36.82%,Detroit Lakes Public School District,2805,74.94%,31.16%,Detroit Lakes Public School District,2728,73.86%,37.06%,55.39,61.05,44.76,54.11,Detroit Lakes Public School District,48.41,51.69,Detroit Lakes Public School District,-0.191911897,-0.1063,0.081546023,0.0365,-0.126015526,-6.98,-0.113677314,-0.0694,-0.044723711,-0.0242,-0.153316953,-9.36,Detroit Lakes Public School District,-6.98
1,100,Wrenshall Public School District,377,90.72%,44.03%,Wrenshall Public School District,378,88.10%,40.21%,Wrenshall Public School District,347,85.88%,40.35%,39.62,54.63,28.41,45.93,Wrenshall Public School District,37.35,45.66,Wrenshall Public School District,-0.28293791,-0.1121,0.31467793,0.0894,-0.057294296,-0.0227,-0.159253158,-0.087,-0.005878511,-0.0027,-0.164195497,-0.0897,Wrenshall Public School District,-0.0227
