"District.Name","School.Name","math_ALL","math_FRP","reading_ALL","reading_FRP"
"Saint Paul Public Schools","Washington Technology Middle School",9.38,9.57,16.9,16.48
"Saint Paul Public Schools","Saint Paul Online Elementary School",4,4.47,8,5.97
"Saint Paul Public Schools","Adams Magnet Elementary",39.9,13.69,48.76,28.76
"Saint Paul Public Schools","Battle Creek Elementary School",29.8,29.77,26.92,26.96
"Saint Paul Public Schools","Benjamin E Mays Ib World School",4.44,4.76,5.18,4.76
"Saint Paul Public Schools","Chelsea Heights Elementary",58.33,27.86,50,22.95
"Saint Paul Public Schools","Cherokee Heights Elementary School",16.3,13.33,21.73,16
"Saint Paul Public Schools","Bridge View Special Education",18.05,18.96,9.85,10.9
"Saint Paul Public Schools","Como Park Elementary",24.81,26.08,29.32,29.56
"Saint Paul Public Schools","Daytons Bluff Elementary",22.42,20,11.21,9.47
"Saint Paul Public Schools","Expo For Excellence Elementary School",33.88,12.08,48.88,24.17
"Saint Paul Public Schools","East African Magnet School",11.92,10.67,20.18,19.41
"Saint Paul Public Schools","Bruce F Vento Elementary",5.75,4.62,12.04,11.56
"Saint Paul Public Schools","Eastern Heights Elementary",19.53,18.18,21.87,21.81
"Saint Paul Public Schools","Farnsworth Aerospace Lower",30.17,25.17,25,18.3
"Saint Paul Public Schools","Four Seasons Elementary",7.76,6.31,4.85,3.15
"Saint Paul Public Schools","L'Etoile Du Nord French Immersion",55.55,31.11,57.4,40
"Saint Paul Public Schools","Frost Lake Elementary School",13.85,10.93,23.37,21.87
"Saint Paul Public Schools","Crossroads Montessori",16.92,9.8,33.84,25.49
"Saint Paul Public Schools","Crossroads Science Program",21.68,17.14,26.5,21.42
"Saint Paul Public Schools","Groveland Park Elementary",59.25,27.39,57.14,27.39
"Saint Paul Public Schools","Hamline Elementary School",23.68,15.55,29.82,22.22
"Saint Paul Public Schools","Jie Ming Mandarin Immersion Academy",82.65,70.14,73.97,55.22
"Saint Paul Public Schools","The Heights Community School",20.66,16.5,16.52,12.62
"Saint Paul Public Schools","Hazel Park Preparatory Academy",8.5,9.02,11.9,11.91
"Saint Paul Public Schools","Highland Park Elementary",20.31,8.57,27.6,15.71
"Saint Paul Public Schools","Barack And Michelle Obama Montessori",24.83,14.28,39.59,15.87
"Saint Paul Public Schools","Capitol Hill Magnet/Rondo",56.96,38.09,65.77,47.86
"Saint Paul Public Schools","Highwood Hills Elementary",12.63,10.22,16.84,13.63
"Saint Paul Public Schools","Global Arts Plus Lower",26.31,22.85,23.68,18.09
"Saint Paul Public Schools","Horace Mann School",76.41,47.82,76.41,47.82
"Saint Paul Public Schools","Maxfield Elementary School",10.65,8.33,16.52,13.08
"Saint Paul Public Schools","Mississippi Creative Arts Elementary",16.26,13.69,15.04,12.78
"Saint Paul Public Schools","Global Arts Plus Upper",15.11,8.98,27.7,16.47
"Saint Paul Public Schools","Nokomis Montessori North Campus",21.15,18.36,21.79,15.3
"Saint Paul Public Schools","Nokomis Montessori South Campus",21.05,12,32.45,25.33
"Saint Paul Public Schools","Txuj Ci Hmong Language And Culture Lower",31.85,31.42,20.35,21.14
"Saint Paul Public Schools","Randolph Heights Elementary",78.13,40.98,76.27,40.98
"Saint Paul Public Schools","Riverview Spanish/English Dual Immersion",20.33,18.82,25.42,21.17
"Saint Paul Public Schools","Paul & Sheila Wellstone Elementary",12.33,7.52,18.06,14.51
"Saint Paul Public Schools","St. Anthony Park Elementary",61.8,39.53,61.8,40.69
"Saint Paul Public Schools","Saint Paul Music Academy",31.3,28.96,28.97,27.86
"Saint Paul Public Schools","American Indian Magnet School",9.19,7.93,17.21,16.89
"Saint Paul Public Schools","Rivereast Program",10.25,6.06,8.1,6.45
"Saint Paul Public Schools","Focus Beyond",NA,NA,NA,NA
"Saint Paul Public Schools","Gordon Parks High School",0,0,NA,NA
"Saint Paul Public Schools","Leap High School",7.14,NA,0,0
"Saint Paul Public Schools","Guadalupe Alternative Programs",NA,NA,NA,NA
"Red Lake Falls Public School District","J.A. Hughes Elementary",60,50,54.81,51.72
"Red Lake Falls Public School District","Lafayette Secondary",44.79,40.62,48.35,51.72
"Wabasso Public School District","Wabasso Elementary",64.94,59.45,42.26,32.43
"Wabasso Public School District","Wabasso Secondary",57.37,42.55,45.87,31.7
"Faribault Public School District","Jefferson Elementary",15.23,12.6,25.82,23.52
"Faribault Public School District","Lincoln Elementary",18.12,12.06,29.37,24.13
"Faribault Public School District","Roosevelt Early Learning Center",23.35,19.51,46.1,40.65
"Faribault Public School District","Faribault Middle",11.75,7.88,29.1,25
"Faribault Public School District","Faribault Senior High",9.13,6.36,27.82,22.46
"Faribault Public School District","Faribault Area Learning Center",0,NA,NA,NA
"Faribault Public School District","Falcons Online Academy-Hs",6.06,NA,NA,NA
"Northfield Public School District","Northfield Senior High",43.04,18.68,57.92,32.94
"Northfield Public School District","Northfield Middle",57.31,38.88,61.34,44.01
"Northfield Public School District","Greenvale Park Elementary",63.15,35.71,63.15,41.66
"Northfield Public School District","Bridgewater Elementary",69.72,45.71,64.28,44.28
"Northfield Public School District","Spring Creek Elementary",66.66,39.13,60.75,36.23
"Northfield Public School District","Northfield Area Learning Center",5,0,15.62,NA
"Hills-Beaver Creek School District","Hills-Beaver Creek Elementary",65.51,47.61,55.17,52.38
"Hills-Beaver Creek School District","Hills-Beaver Creek Secondary",47.32,28.57,67.32,70.83
"Badger Public School District","Badger Elementary",36.98,39.02,45.2,39.02
"Badger Public School District","Badger Secondary",34.14,34.61,48.83,48
"Roseau Public School District","Roseau Elementary",46.44,34.21,51.18,42.98
"Roseau Public School District","Roseau Secondary",27,24.32,39.52,34.66
"Warroad Public School District","Warroad Elementary",55.39,43.82,55.88,48.31
"Warroad Public School District","Warroad High School",23.83,14.87,38.73,32.77
"Chisholm Public School District","Vaughan-Steffensrud Elementary",42.55,40,46.8,48
"Chisholm Public School District","Chisholm Elementary",27.97,18.91,42.65,31.08
"Chisholm Public School District","Chisholm Secondary",15.38,15.09,34.93,18.64
"Ely Public School District","Memorial Middle School",31.94,25.58,41.66,41.86
"Ely Public School District","Washington Elementary",55.33,47.72,62.13,54.54
"Ely Public School District","Memorial High School",29.03,NA,58.33,NA
"Floodwood Public School District","Floodwood Elementary",39.58,40,54.16,55
"Floodwood Public School District","Floodwood Secondary",40,30,40.54,NA
"Hermantown Community Schools","Hermantown Elementary",65.11,45.45,53.48,36.36
"Hermantown Community Schools","Hermantown Middle",60.15,39.13,63.03,47.82
"Hermantown Community Schools","Hermantown Senior High",26.08,NA,47.67,37.5
"Hibbing Public School District","Greenhaven Elementary",65.66,57.73,43.97,43.29
"Hibbing Public School District","Lincoln Middle School",42.72,30.03,53.76,44.22
"Hibbing Public School District","Hibbing High",33.98,20.18,52.9,39.16
"Proctor Public School District","Proctor Senior High",26.86,20.58,49.27,37.2
"Proctor Public School District","A.I. Jedlicka Middle School",35.07,24.03,49.54,36.92
"Proctor Public School District","Bay View Elementary",61.33,45.19,53.66,48.07
"Proctor Public School District","Pike Lake Elementary",77.55,66.66,61.9,43.33
"Nett Lake Public School District","Nett Lake Elementary",19.23,10,34.61,30
"Duluth Public School District","Denfeld High School",11.93,6.29,32.32,26.19
"Duluth Public School District","East High School",37.57,16.39,62.35,53.84
"Duluth Public School District","Lincoln Park Middle School",22.3,12.94,39.56,27.19
"Duluth Public School District","Ordean East Middle School",48.4,28.3,62.94,40.75
"Duluth Public School District","Congdon Elementary",64.37,40,73.5,48
"Duluth Public School District","Homecroft Elementary",67.85,59.25,66.51,62.96
"Duluth Public School District","Lakewood Elementary",68.18,59.52,74.24,57.14
"Duluth Public School District","Lester Park Elementary",65.88,38.98,63.52,35.59
"Duluth Public School District","Lowell Elementary",46.75,44.44,47.4,44.44
"Duluth Public School District","Lowell Elementary Spanish Immersion",61.53,38.46,56.41,42.3
"Duluth Public School District","Laura MacArthur Elementary",23.35,19.58,32.11,25.77
"Duluth Public School District","Myers-Wilkins Elementary",19.56,14.4,28.26,23.2
"Duluth Public School District","Piedmont Elementary",55.81,43.29,55.81,46.39
"Duluth Public School District","Stowe Elementary",26.92,22.05,30.76,29.41
"Duluth Public School District","Duluth Area Learning Center",0,NA,NA,NA
"Duluth Public School District","Alc Independent Study",0,NA,NA,NA
"Mountain Iron-Buhl School District","Merritt Elementary",52.84,41.86,57.38,51.16
"Mountain Iron-Buhl School District","Mountain Iron-Buhl Secondary",35.82,33.33,46.09,37.03
"Belle Plaine Public School District","Oak Crest Elementary",55.6,44.2,49.06,33.33
"Belle Plaine Public School District","Belle Plaine Senior High",40.56,26.08,61.46,NA
"Belle Plaine Public School District","Belle Plaine Junior High",46.42,50,45.63,48.27
"Jordan Public School District","Jordan High School",33.92,25.71,63.09,58.62
"Jordan Public School District","Jordan Middle",48.84,30.55,59.23,47.91
"Jordan Public School District","Jordan Elementary",56.12,41.93,42.29,37.63
"Prior Lake-Savage Area Schools","La Ola Del Lago At Grainwood",62.24,33.33,63.77,44.44
"Prior Lake-Savage Area Schools","Westwood Elementary",66.54,49.05,63.02,41.5
"Prior Lake-Savage Area Schools","Five Hawks Elementary",71.42,51.92,55.04,44.23
"Prior Lake-Savage Area Schools","Glendale Elementary",67.61,45.76,63.56,42.37
"Prior Lake-Savage Area Schools","Jeffers Pond Elementary",63.6,46.42,64.8,46.42
"Prior Lake-Savage Area Schools","Redtail Ridge Elementary School",59.19,54.83,61.87,54.83
"Prior Lake-Savage Area Schools","Hamilton Ridge Elementary School",52.52,32.75,51.85,36.2
"Prior Lake-Savage Area Schools","Prior Lake-Savage Middle School",53.61,32.46,57.79,42.31
"Prior Lake-Savage Area Schools","Prior Lake High School",33.49,18.26,51.87,39.56
"Prior Lake-Savage Area Schools","Prior Lake-Savage Area Alc",2.63,NA,NA,NA
"Shakopee Public School District","Shakopee High School",19.51,9.52,44,32.44
"Shakopee Public School District","Shakopee West Middle School",33.29,18.75,43.93,31.87
"Shakopee Public School District","Shakopee East Middle School",33.37,17.45,49.81,34.61
"Shakopee Public School District","Sweeney Elementary",51.31,37.39,53.61,39.13
"Shakopee Public School District","Sun Path Elementary",53.15,39.31,51.3,41.88
"Shakopee Public School District","Red Oak Elementary",41.63,28.68,45.25,30.46
"Shakopee Public School District","Eagle Creek Elementary School",45.21,35.07,55.44,41.04
"Shakopee Public School District","Jackson Elementary",57.95,35.65,54.71,40
"New Prague Area Schools","New Prague Senior High",25.53,17.64,43.35,36.73
"New Prague Area Schools","New Prague Middle School",51.36,39.88,47.32,40.44
"New Prague Area Schools","Raven Stream Elementary",53.69,41.37,41.94,22.41
"New Prague Area Schools","Eagle View",53.26,30.23,52.53,41.86
"New Prague Area Schools","Falcon Ridge",57.55,47.72,43.88,31.81
"Becker Public School District","Becker Intermediate Elementary",59.04,38.21,53.9,42.27
"Becker Public School District","Becker Senior High",33.51,23.25,41.74,38.09
"Becker Public School District","Becker Middle",47.63,29.19,52.05,34.3
"Big Lake Public School District","Independence Elementary",54.89,38.69,47.48,31.29
"Big Lake Public School District","Big Lake Senior High",20.28,22.95,42.72,35.71
"Big Lake Public School District","Big Lake Middle School",45.48,33.03,53.44,38.66
"Big Lake Public School District","Liberty Elementary",NA,NA,NA,NA
"Big Lake Public School District","Big Lake Online 6-12",1.51,0,9.09,NA
"Elk River Public School District","Rogers Elementary",79.57,50,65.49,39.47
"Elk River Public School District","Parker Elementary",63.89,54.21,63.17,56.62
"Elk River Public School District","Hassan Elementary",77.33,54.54,63.3,40.9
"Elk River Public School District","Twin Lakes Elementary",78.4,60.71,78.93,59.52
"Elk River Public School District","Prairie View Elementary School",72.48,62.96,59.39,46.29
"Elk River Public School District","Westwood Elementary",58.24,47.77,50.71,35.55
"Elk River Public School District","Lincoln Elementary",63.88,57.26,58.33,53.84
"Elk River Public School District","Rogers Middle School",68.34,46.06,67.13,51.51
"Elk River Public School District","Zimmerman Middle",52.98,43.24,54.18,42.56
"Elk River Public School District","Prairie View Middle School",56.39,45.25,62.4,56.42
"Elk River Public School District","Vandenberge Middle School",40.26,23.07,46.06,29.23
"Elk River Public School District","Salk Middle School",46.78,27.58,50.64,32.75
"Elk River Public School District","Elk River Senior High",38.99,30.26,50.13,41.55
"Elk River Public School District","Rogers Senior High",58.94,45.94,65.06,53.01
"Elk River Public School District","Zimmerman High School",45.62,30.3,50.54,32.5
"Elk River Public School District","Online728 High School",21.05,NA,NA,NA
"Elk River Public School District","Meadowvale Elementary",69.31,50.87,70,57.89
"Elk River Public School District","Otsego Elementary",66.35,50,53.08,38.63
"Holdingford Public School District","Holdingford Elementary",62.89,43.92,61.15,43.92
"Holdingford Public School District","Holdingford Secondary",32.12,20.63,25.86,18.46
"Kimball Public School District","Kimball Elementary",50,32.69,43.37,36.53
"Kimball Public School District","Kimball Secondary",37.5,18.86,44.16,31.03
"Melrose Public School District","Melrose Elementary",53.99,43.01,48.82,34.4
"Melrose Public School District","Melrose Middle",44.87,19.09,48.4,31.81
"Melrose Public School District","Melrose Secondary",53.91,35.13,51.79,45.45
"Paynesville Area Schools","Paynesville Area Elementary",57.21,37.73,58.85,40.74
"Paynesville Area Schools","Paynesville Area Secondary School",21.7,11.11,38.61,33.33
"St. Cloud Public School District","Special Education Facilities",0,NA,0,NA
"St. Cloud Public School District","Clearview Elementary",44.73,16.36,48.69,30.9
"St. Cloud Public School District","Kennedy Community School",37.63,22.87,44.89,34.04
"St. Cloud Public School District","Lincoln Elementary",7.6,7.42,19.2,18.77
"St. Cloud Public School District","Madison Elementary",32.9,23.14,36.74,28.38
"St. Cloud Public School District","Discovery Community Elementary",20.92,17.67,24.68,21.21
"St. Cloud Public School District","Talahi Community Elementary",19.54,17.24,17.16,14.65
"St. Cloud Public School District","Westwood Elementary",43.5,33.05,40,29.75
"St. Cloud Public School District","Oak Hill Community Elementary",35.83,27.5,37.28,26.66
"St. Cloud Public School District","North Junior High",17.89,11.78,30.88,23.96
"St. Cloud Public School District","South Junior High",22.37,13.8,36.52,27.36
"St. Cloud Public School District","Apollo Senior High",14.1,9.35,27.11,19.79
"St. Cloud Public School District","Technical Senior High",16.82,10.69,32.74,27.05
"St. Cloud Public School District","St. Cloud Area Learning Center",0,0,NA,NA
"St. Cloud Public School District","Katherine Johnson Education Center",0,0,8.33,8.82
"Sauk Centre Public School District","Sauk Centre Elementary",46.09,46.42,27.65,26.78
"Sauk Centre Public School District","Sauk Centre Secondary",43.97,30.23,39.93,27.08
"Sauk Centre Public School District","Sauk Centre Middle",31.85,25.45,51.11,49.09
"Albany Public School District","Albany Elementary",60.79,51.72,57.26,48.27
"Albany Public School District","Avon Elementary",63.76,50,62.31,54.16
"Albany Public School District","Albany Area Middle School",60.13,43.15,55.5,48.42
"Albany Public School District","Albany Area High School",31.03,NA,58.69,37.03
"Sartell-St. Stephen School District","Sartell Senior High",37.99,26.53,55.01,51.42
"Sartell-St. Stephen School District","Sartell Middle",68.71,46.53,63.29,46.03
"Sartell-St. Stephen School District","Riverview Intermediate School",64.19,46.03,59.48,41.58
"Rocori Public School District","Richmond Elementary",62.68,NA,53.73,NA
"Rocori Public School District","Rockville Elementary",59.42,NA,47.82,NA
"Rocori Public School District","Cold Spring Elementary",51.62,36.28,43.83,26.54
"Rocori Public School District","Rocori Senior High",32.08,18.33,51.58,36.06
"Rocori Public School District","Rocori Middle",46.08,26.2,43.23,28.96
"Rocori Public School District","Rocori Online Learning Site",0,NA,20,NA
"Blooming Prairie Public School District","Blooming Prairie Elementary",72.05,59.57,57.35,53.19
"Blooming Prairie Public School District","Blooming Prairie High School",35.35,18.57,44.84,21.21
"Blooming Prairie Public School District","Blooming Prairie Intermediate School",35.5,21.15,58.69,50
"Owatonna Public School District","Owatonna Senior High",15.29,10.81,30.32,16.66
"Owatonna Public School District","Owatonna Middle School",40.66,24.52,46.82,30.89
"Owatonna Public School District","Lincoln Elementary",56.93,36.89,47.33,30.09
"Owatonna Public School District","McKinley Elementary",44.07,24.8,44.81,26.35
"Owatonna Public School District","Washington Elementary",56.91,49.53,44.71,35.51
"Owatonna Public School District","Wilson Elementary",38.76,28.46,36.56,25.54
"Owatonna Public School District","Owatonna Online 9-12",0,0,17.5,13.63
"Owatonna Public School District","Owatonna Online 7-8",9.09,NA,27.27,NA
"Medford Public School District","Medford Elementary",42.08,35.86,43.52,35.86
"Medford Public School District","Medford Secondary",23.72,22.38,42.47,37.87
"Hancock Public School District","Hancock Elementary",79.38,68.75,80.91,65.62
"Hancock Public School District","Hancock Sec.",65.45,45.16,65.38,48.14
"Chokio-Alberta Public Schools","Chokio-Alberta Secondary",31.42,NA,32.25,NA
"Chokio-Alberta Public Schools","Chokio-Alberta Elementary",35.29,NA,52.94,NA
"Kerkhoven-Murdock-Sunburg","Murdock Elementary",54.46,36,51.06,34
"Kerkhoven-Murdock-Sunburg","Kerkhoven Secondary",26.66,13.84,30.36,14.7
"Benson Public School District","Benson Secondary",32.06,24.65,37.85,32.83
"Benson Public School District","Northside Elementary",43.45,30.3,39.28,31.81
"Bertha-Hewitt Public School District","Bertha Elementary",54.74,46.37,46.71,33.33
"Bertha-Hewitt Public School District","Bertha Secondary",21.05,15.09,34.34,34
"Browerville Public School District","Browerville Elementary",46.71,46.15,35.52,32.96
"Browerville Public School District","Browerville Secondary",38.29,26.66,37.41,33.87
"Browns Valley Public School District","Browns Valley Elementary",51.28,40,35.89,40
"Browns Valley Public School District","Browns Valley Middle",39.43,33.33,49.29,43.75
"Wheaton Area Public School District","Pearson Elementary",62.19,50,47.56,36.66
"Wheaton Area Public School District","Wheaton Secondary",24.41,14.63,43.01,27.27
"Wabasha-Kellogg Public School District","Wabasha-Kellogg Elementary",42.34,36.73,54.05,51.02
"Wabasha-Kellogg Public School District","Wabasha-Kellogg Secondary",28.7,9.37,45.28,38.23
"Wabasha-Kellogg Public School District","Falcon View Online Elementary School",18.18,NA,13.63,NA
"Wabasha-Kellogg Public School District","Falcon View Online Middle School",14.08,15.62,22.53,21.87
"Wabasha-Kellogg Public School District","Falcon View Online High School",8.16,NA,50,NA
"Lake City Public School District","Bluff View Elementary",42.81,30.28,45.74,35.91
"Lake City Public School District","Lincoln Secondary",37.75,24.71,44.82,35.29
"Verndale Public School District","Verndale Elementary",40.66,33.33,49.33,38.09
"Verndale Public School District","Verndale Secondary",13.88,16.07,26.95,19.35
"Sebeka Public School District","Sebeka Elementary",53.22,41.55,49.19,40.25
"Sebeka Public School District","Sebeka Secondary",35.05,19.23,40.19,34.69
"Menahga Public School District","Menahga Elementary",30.92,22.94,31.16,22.8
"Menahga Public School District","Menahga High School",9.77,8.19,21.52,14.03
"Waseca Public School District","Hartley Elementary",53.06,44.44,41.83,33.33
"Waseca Public School District","Waseca Intermediate School",41.06,29.69,48.67,35.54
"Waseca Public School District","Waseca Junior High",41.35,31.13,45.11,33.96
"Waseca Public School District","Waseca Senior High",26.51,6,48.48,34.14
"Waseca Public School District","Waseca Area Learning Center",5,NA,NA,NA
"Forest Lake Public School District","Forest Lake Area Community School",0,NA,NA,NA
"Forest Lake Public School District","Forest Lake Area High School",31.2,NA,45.78,NA
"Forest Lake Public School District","Forest Lake Area Middle School",51.4,NA,44.59,NA
"Forest Lake Public School District","Columbus Elementary",65.42,NA,62.08,NA
"Forest Lake Public School District","Forest Lake Elementary",35.25,NA,48.81,NA
"Forest Lake Public School District","Forest View Elementary",44.21,NA,34.73,NA
"Forest Lake Public School District","Lino Lakes Elementary",47.34,NA,51.51,NA
"Forest Lake Public School District","Linwood Elementary",54.16,NA,53.7,NA
"Forest Lake Public School District","Scandia Elementary",64.46,NA,58.88,NA
"Forest Lake Public School District","Wyoming Elementary",61.39,NA,51.83,NA
"Mahtomedi Public School District","O.H. Anderson Elementary",74.92,40.47,69.3,41.66
"Mahtomedi Public School District","Mahtomedi Middle",66.3,42.73,64.68,47.86
"Mahtomedi Public School District","Mahtomedi Senior High",38.12,21.05,60.95,55.55
"South Washington County Schools","Cottage Grove Middle School",31.89,18.81,46.29,34.72
"South Washington County Schools","Lake Middle School",64.73,36.6,65.16,36.6
"South Washington County Schools","Oltman Middle School",37.56,18.62,44.44,28.27
"South Washington County Schools","Park High School",20.04,13.33,35.15,31.61
"South Washington County Schools","East Ridge High School",26.66,19.17,49.8,44.44
"South Washington County Schools","Woodbury Middle School",43.64,22.8,50.56,29.12
"South Washington County Schools","Woodbury High School",24.94,11.45,49.2,34.28
"South Washington County Schools","Armstrong Elementary",56.96,50,41.13,39.58
"South Washington County Schools","Nuevas Fronteras Spanish Immersion Elementary",57.19,40.47,52.14,33.33
"South Washington County Schools","Crestview Elementary",35.48,25.66,37.78,29.2
"South Washington County Schools","Grey Cloud Elementary",58.96,37.87,54.54,33.33
"South Washington County Schools","Hillside Elementary",54.18,42.85,45.09,40.25
"South Washington County Schools","Cottage Grove Elementary",73.41,63.26,62.02,46.93
"South Washington County Schools","Newport Elementary",49.57,35.71,49.57,37.5
"South Washington County Schools","Pine Hill Elementary",40.46,32.89,38.13,31.57
"South Washington County Schools","Liberty Ridge Elementary",83.53,61.29,73.84,50
"South Washington County Schools","Pullman Elementary",37.91,27.77,37.91,27.77
"South Washington County Schools","Red Rock Elementary",70.64,59.09,64.19,61.36
"South Washington County Schools","Royal Oaks Elementary",62.76,35.38,59.41,38.46
"South Washington County Schools","Gordon Bailey Elementary",54.69,32.39,53.08,29.57
"South Washington County Schools","Woodbury Elementary",38.66,24.7,40.88,31.76
"South Washington County Schools","Middleton Elementary",59.75,30.5,58.82,27.11
"South Washington County Schools","Valley Crossing Elementary",80.19,58.13,74.46,51.16
"Stillwater Area Public Schools","Stillwater Area High School",40.43,24.57,58.51,34.84
"Stillwater Area Public Schools","Oak-Land Middle School",52.08,24.09,55.43,33.03
"Stillwater Area Public Schools","Stillwater Middle School",58.59,36.06,63.13,41.53
"Stillwater Area Public Schools","Afton-Lakeland Elementary",74.67,62.16,70.3,62.16
"Stillwater Area Public Schools","Andersen Elementary",51.59,29.03,47.13,32.25
"Stillwater Area Public Schools","Lake Elmo Elementary",59.51,29.5,56.4,21.31
"Stillwater Area Public Schools","Lily Lake Elementary",64.85,40,58.41,45.45
"Stillwater Area Public Schools","Stonebridge Elementary",55.41,NA,61.9,NA
"Stillwater Area Public Schools","Brookview Elementary",58.43,30.3,51.56,26.26
"Stillwater Area Public Schools","Gate 4/5",95.08,NA,98.36,NA
"Stillwater Area Public Schools","Rutherford Elementary",58.16,22,61.22,32
"Butterfield-Odin Public School District","Butterfield Elementary",43.1,38.09,36.2,21.42
"Butterfield-Odin Public School District","Butterfield Secondary",20.4,18.18,26.19,29.62
"Madelia Public School District","Madelia Elementary",35.29,27.18,36.36,27.18
"Madelia Public School District","Madelia Secondary",23.23,12.85,37.82,33.8
"St. James Public School District","St. James Northside Elementary",43.94,31,35.87,23.25
"St. James Public School District","St. James Middle/High School",33.33,27.1,44.62,39.2
"Breckenridge Public School District","Breckenridge Elementary",37.32,32.87,42.95,38.35
"Breckenridge Public School District","Breckenridge Middle/High School",36.64,37.5,46.92,45.09
"Rothsay Public School District","Rothsay Elementary",57.31,41.93,47.56,38.7
"Rothsay Public School District","Rothsay Secondary",49.29,35,45.71,42.85
"Campbell-Tintah Public School District","Campbell-Tintah Elementary",20.58,NA,23.52,NA
"Campbell-Tintah Public School District","Campbell-Tintah Secondary",45.45,NA,41.66,NA
"Lewiston-Altura Public School District","Lewiston-Altura Elementary",70,48.48,60,51.51
"Lewiston-Altura Public School District","Lewiston-Altura Secondary",49.05,34,52.66,43.33
"St. Charles Public School District","St. Charles Elementary",57.29,32.05,58,35.89
"St. Charles Public School District","St. Charles Secondary",32.17,21.21,44.01,32.75
"Winona Area Public School District","Jefferson Elementary",53.48,43.93,44.18,36.36
"Winona Area Public School District","Winona Middle",26.08,10.54,37.03,21.42
"Winona Area Public School District","Winona Senior High",16.14,7.57,24.87,12.67
"Winona Area Public School District","Washington-Kosciusko Elementary",36.95,23.21,31.52,19.64
"Winona Area Public School District","Goodview Elementary",55.95,43.9,45.23,41.46
"Winona Area Public School District","Winona Area Learning Center",0,0,NA,NA
"Annandale Public School District","Annandale Elementary School",65.94,44.91,53.87,40.67
"Annandale Public School District","Annandale Middle School",54.74,34.35,58.94,36.64
"Annandale Public School District","Annandale Senior High",38.34,28,69.48,55.26
"Buffalo-Hanover-Montrose Schools","Parkside Elementary",42.45,26.38,43.88,27.77
"Buffalo-Hanover-Montrose Schools","Hanover Elementary",79.56,65,69.35,35
"Buffalo-Hanover-Montrose Schools","Buffalo Community Middle",45.9,33.73,47.21,34.92
"Buffalo-Hanover-Montrose Schools","Buffalo Senior High",34.86,23.28,48.43,41.96
"Buffalo-Hanover-Montrose Schools","Montrose Elementary School Of Innovation",51.97,50,50.84,46.51
"Buffalo-Hanover-Montrose Schools","Tatanka Elementary Stem School",43.25,32.78,43.25,32.78
"Buffalo-Hanover-Montrose Schools","Northwinds Elementary",59.15,42.59,51.17,38.88
"Buffalo-Hanover-Montrose Schools","Discovery Elementary",44.09,33.33,50.39,42.85
"Delano Public School District","Delano Elementary",71.35,61.53,64.58,61.53
"Delano Public School District","Delano Intermediate School",69.9,42.5,75.13,48.75
"Delano Public School District","Delano High School",58.24,38.98,62.59,48.43
"Maple Lake Public School District","Maple Lake Elementary",58.95,45.76,51.96,45.76
"Maple Lake Public School District","Maple Lake Secondary",39.74,17.64,56.33,32.25
"Monticello Public School District","Pinewood Elementary",55.41,40.38,55.41,41.02
"Monticello Public School District","Monticello Senior High",39.46,32.87,39.93,30.26
"Monticello Public School District","Monticello Middle",42.95,31.38,46.3,33.05
"Monticello Public School District","Little Mountain Elementary",58.1,40.35,54.18,42.1
"Monticello Public School District","Monticello Nature Based Education",79.54,NA,63.63,NA
"Monticello Public School District","882 Online",0,NA,9.09,NA
"Rockford Public School District","Rockford Secondary",30.55,15.38,55.97,37.5
"Rockford Public School District","Rockford Elementary Arts Magnet School",52.67,36.36,48.21,33.76
"Rockford Public School District","Rockford Middle",35.82,22.85,51.27,39
"St. Michael-Albertville School District","St. Michael-Albertville Senior High",40.15,28.39,45.68,38.09
"St. Michael-Albertville School District","St. Michael-Albertville Middle East",55.62,35.91,63.2,47.8
"St. Michael-Albertville School District","St. Michael Elementary",71.3,54.43,57.1,39.24
"St. Michael-Albertville School District","Big Woods Elementary",70.46,56.52,59.64,42.02
"St. Michael-Albertville School District","Fieldstone Elementary School",71.94,47.29,62.04,44.59
"St. Michael-Albertville School District","St. Michael-Albertville Middle West",51.5,34.59,59.43,48.64
"St. Michael-Albertville School District","Stma Online - Secondary",3.84,NA,NA,NA
"Canby Public School District","Canby Secondary",29.72,21.66,39.41,32.25
"Canby Public School District","Canby Elementary",49.04,42.42,59.87,56.06
"Cambridge-Isanti Public School District","Isanti Primary School",NA,NA,NA,NA
"Cambridge-Isanti Public School District","Cambridge-Isanti Steam School",39.7,30,33.82,35
"Cambridge-Isanti Public School District","Cambridge Intermediate School",59.33,46.87,51.16,38.02
"Cambridge-Isanti Public School District","Isanti Intermediate School",39.71,34.54,35.16,35.15
"Cambridge-Isanti Public School District","Cambridge Middle School",55.38,42.55,55.46,47.08
"Cambridge-Isanti Public School District","Isanti Middle School",40.93,32.45,41.86,34.43
"Cambridge-Isanti Public School District","Cambridge-Isanti High School",24.16,11.53,48.97,38.01
"Cambridge-Isanti Public School District","Cambridge-Isanti Online Secondary (6-12)",2.22,NA,14.81,NA
"Milaca Public School District","Milaca Elementary",41.99,33.64,43.07,40.09
"Milaca Public School District","Milaca Secondary High",41.35,29.62,48.83,46.37
"Ulen-Hitterdal Public School District","Ulen-Hitterdal Elementary",42.35,33.33,49.41,41.66
"Ulen-Hitterdal Public School District","Ulen-Hitterdal Secondary",32,39.13,50,43.75
"Northeast Metro 916","Bellaire Education Center",15.38,NA,3.84,NA
