District,enrollment25,perc_frp25,math19,reading19,math22,reading22,math25,reading25,math_perc_pt_19_25,reading_perc_pt_19_25,filter_helper,color_by
Inver Grove Heights Schools,3427,49.26%,47.55,51.63,32.55,42.17,32.57,38.02,-0.1498,-0.1361,-0.1361,0
Stillwater Area Public School Dist.,8455,20.28%,63.94,68.29,56.39,58.69,58.25,60.96,-0.0569,-0.0733,-0.0569,0
Kasson-Mantorville School District,2152,22.12%,62.67,66.61,58.53,59.44,58.69,62.89,-0.0398,-0.0372,-0.0372,0
Owatonna Public School District,4890,42.43%,49.5,54.08,42.22,47.26,44.67,46.53,-0.0483,-0.0755,-0.0483,0
Cannon Falls Public School District,1055,23.51%,60.19,62.71,48.85,53.88,50.86,54.61,-0.0933,-0.081,-0.081,0
Morris Area Public Schools,1092,27.01%,65.83,60.56,54.98,55.65,56.93,56.75,-0.089,-0.0381,-0.0381,0
Richfield Public School District,4094,53.69%,37.44,43.62,28.71,34.86,30.65,37.47,-0.0679,-0.0615,-0.0615,0
Mahtomedi Public School District,3285,12.72%,76.65,78.56,69.11,68.76,71.02,68.72,-0.0563,-0.0984,-0.0563,0
Robbinsdale Public School District,10810,58.26%,35.23,48.82,25.48,42.91,26.14,41.19,-0.0909,-0.0763,-0.0763,0
Rochester Public School District,17171,38.74%,49.79,55.49,39.83,49.47,41.66,47.78,-0.0813,-0.0771,-0.0771,0
Osseo Public School District,21138,43.87%,49.33,55.05,41.67,49.54,42.97,47.04,-0.0636,-0.0801,-0.0636,0
Luverne Public School District,1142,31.87%,69.54,60.96,62.27,61.17,63.8,57.26,-0.0574,-0.037,-0.037,0
Grand Rapids Public School District,3972,42.70%,53.42,61.69,45.86,53.91,47.22,55.89,-0.062,-0.058,-0.058,0
Bemidji Public School District,4722,42.48%,51.65,55.35,45.87,49.65,45.65,47.17,-0.06,-0.0818,-0.06,0
Moorhead Public School District,7571,47.23%,47.15,52.51,41.91,45,40.34,44.14,-0.0681,-0.0837,-0.0681,0
Cass Lake-Bena Public Schools,1119,80.52%,26.27,35.31,14.65,22.42,15.95,20.5,-0.1032,-0.1481,-0.1032,0
Wayzata Public School District,12951,17.23%,79.12,80.69,77.78,76.96,72.33,72.13,-0.0679,-0.0856,-0.0679,0
Red Lake Public School District,1519,81.44%,16.58,23.23,2.47,10.52,3.47,10.29,-0.1311,-0.1294,-0.1294,0
St. Anthony-New Brighton Schools,1891,29.35%,70.77,67.49,48.24,57.78,48.57,58.48,-0.222,-0.0901,-0.0901,0
Marshall Public School District,2664,53.49%,59.48,58.96,46.02,46.52,47,45.19,-0.1248,-0.1377,-0.1248,0
Dassel-Cokato Public School Dist.,2020,28.91%,70.53,72.82,63.29,68.3,64.25,64.11,-0.0628,-0.0871,-0.0628,0
Brooklyn Center School District,2174,77.78%,13.83,22.44,4.47,17.08,5.37,13.61,-0.0846,-0.0883,-0.0846,0
