District,enrollment25,perc_frp25,math19,reading19,math22,reading22,math25,reading25,math_perc_pt_19_25,reading_perc_pt_19_25,filter_helper,color_by,large_district
Mounds View Public School District,11934,33.44%,66.91,67.58,54.61,59.84,55.82,56.49,-11.09,-11.09,-0.1109,0,1
Blue Earth Area Public School,1064,51.79%,47.74,54.06,33.96,42.75,33.27,44.64,-14.47,-9.42,-0.0942,0,0
Crookston Public School District,1140,55.53%,56.16,55.86,42.1,44.96,41.4,49.33,-14.76,-6.53,-0.0653,0,0
Lake Superior Public School Dist.,1286,33.59%,57.62,61.62,35.31,44.13,34.56,43.11,-23.06,-18.51,-0.1851,0,0
Melrose Public School District,1313,40.52%,59.1,54.61,48.46,48.2,47.66,46.52,-11.44,-8.09,-0.0809,0,0
Holdingford Public School District,1098,29.51%,71.27,67.07,54.3,60.96,53.42,50.94,-17.85,-16.13,-0.1613,0,0
Forest Lake Public School District,5776,27.13%,60.13,61.04,47.46,50.64,49.61,49.8,-10.52,-11.24,-0.1052,0,0
Willmar Public School District,4218,64.84%,48.2,46.66,40.64,36.1,39.61,35.63,-8.59,-11.03,-0.0859,0,0
Thief River Falls School District,1725,39.42%,58.36,60.45,40.97,47.93,39.92,44.76,-18.44,-15.69,-0.1569,0,0
Dover-Eyota Public School District,1057,18.92%,65.29,63.41,49.05,52.71,48,51.18,-17.29,-12.23,-0.1223,0,0
Hutchinson Public School District,2722,32.73%,65.64,66.27,56.11,57.57,55.06,54.78,-10.58,-11.49,-0.1058,0,0
Fergus Falls Public School District,3235,40.96%,58.98,65,54.19,59.66,52.91,58.67,-6.07,-6.33,-0.0607,0,0
East Grand Forks Public School Dist,2005,33.72%,51.6,53.87,44.39,52.06,43.1,46.37,-8.5,-7.5,-0.075,0,0
Lake City Public School District,1189,32.72%,54.79,56.03,46.78,47.45,45.44,46.99,-9.35,-9.04,-0.0904,0,0
Austin Public School District,5385,59.07%,37.09,43.56,27.45,35.5,24.08,32.12,-13.01,-11.44,-0.1144,0,0
White Bear Lake School District,8571,30.43%,62.67,65.07,48.25,55.22,48.75,52.7,-13.92,-12.37,-0.1237,0,0
Bloomington Public School District,10442,47.53%,46.99,53.48,36.6,48.58,38.3,41.75,-8.69,-11.73,-0.0869,0,1
Shakopee Public School District,7717,39.03%,58.54,62.33,46.51,55.19,41.5,50.5,-17.04,-11.83,-0.1183,0,0
St. Peter Public School District,2107,38.21%,59.2,59.06,51.56,50.97,49.66,56.17,-9.54,-2.89,-0.0289,0,0
Winona Area Public School District,2465,44.95%,48.57,49.16,36.12,41.45,34.12,38.53,-14.45,-10.63,-0.1063,0,0
Columbia Heights Public School Dist,3516,76.59%,26.02,35.09,15.94,26.08,13.79,21.81,-12.23,-13.28,-0.1223,0,0
Esko Public School District,1287,13.52%,75.77,80.72,66.77,70.75,64.33,66.42,-11.44,-14.3,-0.1144,0,0
North Branch Public Schools,2704,29.47%,51.24,55.35,40.9,50.89,38.41,44.08,-12.83,-11.27,-0.1127,0,0
Crosby-Ironton Public School Dist.,988,43.72%,45.63,64.26,45.69,57.7,43.14,49.01,-2.49,-15.25,-0.0249,0,0
Greenway Public School District,970,52.27%,50.37,61.21,45.74,44.34,43.16,44.08,-7.21,-17.13,-0.0721,0,0
Becker Public School District,2877,20.44%,66.22,64.88,54.64,58.46,51.89,52.65,-14.33,-12.23,-0.1223,0,0
Rockford Public School District,1565,29.78%,63.13,67.98,42.35,53.07,39.51,51.31,-23.62,-16.67,-0.1667,0,0
Prior Lake-Savage Area Schools,8788,17.90%,71.61,68.43,60.1,61.75,57.58,59.63,-14.03,-8.8,-0.088,0,0
Red Wing Public School District,2225,35.46%,48.88,54.75,33.99,42.2,31.06,37.92,-17.82,-16.83,-0.1683,0,0
New Prague Area Schools,3980,17.59%,70.8,69.89,61.62,62.11,58.53,53.2,-12.27,-16.69,-0.1227,0,0
Hibbing Public School District,2232,47.45%,56.81,66.77,47.38,56,44.37,52.22,-12.44,-14.55,-0.1244,0,0
Elk River School District,14577,21.91%,71.28,70.13,59.05,59.54,60.89,60.37,-10.39,-9.76,-0.0976,0,1
Buffalo-Hanover-Montrose Public Sch,5175,27.13%,65.03,65.17,54.74,55.34,50.74,53.26,-14.29,-11.91,-0.1191,0,0
Burnsville Public School District,7663,56.92%,43.29,48.2,31.42,40.52,30.04,35.94,-13.25,-12.26,-0.1226,0,0
Warroad Public School District,1041,36.50%,49,66.67,42.78,55.78,39.48,49.17,-9.52,-17.5,-0.0952,0,0
Anoka-Hennepin Public School District,38354,38.56%,63.51,65.08,52.41,54.9,51.94,52.64,-11.57,-12.44,-0.1157,0,1
Pine City Public School District,1582,40.08%,48.81,55.74,43.24,48.14,39.7,42.61,-9.11,-13.13,-0.0911,0,0
Sartell-St. Stephen School District,3943,21.10%,75.28,72.1,61.17,65.53,64.53,61.82,-10.75,-10.28,-0.1028,0,0
Farmington Public School District,6458,25.44%,55.19,58.61,44.05,49.24,40.27,45.27,-14.92,-13.34,-0.1334,0,0
Lakeville Public School District,12025,21.06%,69.33,73.25,56.81,63.19,59.26,59.78,-10.07,-13.47,-0.1007,0,1
Pine Island Public School Dist.,1562,17.67%,66.85,68.99,56.07,56.93,52.23,56.47,-14.62,-12.52,-0.1252,0,0
North St Paul-Maplewood Oakdale Public School District,10754,64.03%,51.82,50.94,29.85,36.54,32.45,35.74,-19.37,-15.2,-0.152,0,1
Jordan Public School District,1877,26.80%,61.37,66.76,53.33,58.6,49.25,56.09,-12.12,-10.67,-0.1067,0,0
Litchfield Public School District,1566,39.78%,58.86,65.23,55.38,49.81,51.13,51.86,-7.73,-13.37,-0.0773,0,0
Cambridge-Isanti Public School Dist,5007,35.01%,59.23,62.21,45.9,50.06,45.99,46.86,-13.24,-15.35,-0.1324,0,0
South Washington County School Dist,19578,23.44%,64.92,67.99,51.35,56.71,51.84,54.46,-13.08,-13.53,-0.1308,0,1
Milaca Public School District,1639,45.27%,58.54,58.3,47.36,48.07,42.71,46.38,-15.83,-11.92,-0.1192,0,0
Rocori Public School District,2406,28.80%,61.63,65.09,52.8,52.76,48.12,47.13,-13.51,-17.96,-0.1351,0,0
Spring Lake Park Public Schools,6113,45.44%,46.83,56.59,37.68,45.05,36.18,40.67,-10.65,-15.92,-0.1065,0,0
Roseau Public School District,1101,28.16%,60.74,64.61,43.5,52.08,38.26,46.87,-22.48,-17.74,-0.1774,0,0
Hastings Public School District,4041,28.51%,68,65.54,48.61,52.08,43.18,49.17,-24.82,-16.37,-0.1637,0,0
Brainerd Public School District,6079,40.19%,62.21,67.87,50.17,55.77,45.64,51.48,-16.57,-16.39,-0.1639,0,0
St. James Public School District,1143,56.61%,56.4,57.25,42.33,44.3,36.59,39.31,-19.81,-17.94,-0.1794,0,0
Delano Public School District,2457,12.33%,78.36,79.18,73.41,74.3,67.57,71.12,-10.79,-8.06,-0.0806,0,0
St. Michael-Albertville School Dist,6795,18.63%,75.35,76.18,63.12,63.7,59.96,60.75,-15.39,-15.43,-0.1539,0,0
